RoaduniqueId	RoadName	VehTypeStd1	VehTypeStd2	VehTypeStd3	VehTypeStd4	VehTypeStd5	VehWeightStd1	VehWeightStd2	VehWeightStd3	WeightRange1	WeightRange2	WeightRange3	Modulus	Version	StartTime	Status	Spear1	Spear2	Spear3	Spear4
52	洞新	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
53	石华	50	80	110	130	150	9	4.5	4.5	10	40	40	0.96	13	2016-04-28 00:00:00	0				
54	溆怀	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
55	长潭西	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
56	新溆	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
57	怀化绕城	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
58	长韶娄	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
59	安邵	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
60	益阳南线	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
61	龙永	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
62	邵坪	50	80	110	130	150	9	4.5	4.5	10	40	40	1	13	2016-04-28 00:00:00	0				
63	大岳	50	80	110	130	150	9	4.5	4.5	10	40	40	1.1	13	2016-04-28 00:00:00	0				
64	长沙绕城西北段	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
65	长沙绕城西南段	40	70	100	120	140	8	4	4	10	40	40	1	13	2016-04-28 00:00:00	0				
